Probabilities,H_X,H_Y,H_XY,P,E,Error Detection Rate,Correction Capability,Adaptation Rate,Spatial Scale,Temporal Scale,Intelligence
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.3,1.0,1.0,2.781382262801134e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.3,1.0,1.5,1.8542548418674227e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.3,1.5,0.5,3.7085096837348454e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.3,1.5,1.0,1.8542548418674227e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.3,1.5,1.5,1.2361698945782816e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.5333333333333333,0.5,0.5,1.977871855885739e-05
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.5333333333333333,0.5,1.0,9.889359279428695e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.5333333333333333,0.5,1.5,6.592906186285797e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.5333333333333333,1.0,0.5,9.889359279428695e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.5333333333333333,1.0,1.0,4.9446796397143476e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.5333333333333333,1.0,1.5,3.2964530931428984e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.5333333333333333,1.5,0.5,6.592906186285797e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.5333333333333333,1.5,1.0,3.2964530931428984e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.5333333333333333,1.5,1.5,2.1976353954285988e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.7666666666666666,0.5,0.5,2.8431905856066308e-05
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.7666666666666666,0.5,1.0,1.4215952928033154e-05
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.7666666666666666,0.5,1.5,9.477301952022103e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.7666666666666666,1.0,0.5,1.4215952928033154e-05
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.7666666666666666,1.0,1.0,7.107976464016577e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.7666666666666666,1.0,1.5,4.738650976011051e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.7666666666666666,1.5,0.5,9.477301952022103e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.7666666666666666,1.5,1.0,4.738650976011051e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,0.7666666666666666,1.5,1.5,3.159100650674034e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,1.0,0.5,0.5,3.708509536371916e-05
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,1.0,0.5,1.0,1.854254768185958e-05
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,1.0,0.5,1.5,1.2361698454573054e-05
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.5,0.75,1.0,1.0,0.5,1.854254768185958e-05
